country;model_name;horizon;feature;importance
CZ;ARI;3;lag_temp_max_1;0,055603043133264723
CZ;ARI;3;lag_value_2;0,1275834185018918
CZ;ARI;3;lag_temp_max_2;0,028308794313686318
CZ;ARI;3;lag_value_3;0,0824679502455033
CZ;ARI;3;lag_value_4;0,05246053031738749
CZ;ARI;3;month_cos;0,1065113618202875
CZ;ARI;3;week_sin;0,04233676495322359
CZ;ARI;3;week_cos;0,1595286360871851
CZ;ARI;4;temperature_2m_max;0,07598891796938796
CZ;ARI;4;temperature_2m_min;0,03957495037910203
CZ;ARI;4;lag_value_1;0,17103086076293866
CZ;ARI;4;lag_temp_max_1;0,05653529311889179
CZ;ARI;4;lag_value_2;0,1027124979644859
CZ;ARI;4;lag_temp_max_2;0,03971727929839662
CZ;ARI;4;lag_value_3;0,06667674858422942
CZ;ARI;4;lag_value_4;0,06809165081741649
CZ;ARI;4;month_cos;0,16950270875293588
CZ;ARI;4;week_sin;0,055109500600831536
CZ;ARI;4;week_cos;0,15505959175138376
CZ;ILI;1;relative_humidity_2m;0,012270367372851728
CZ;ILI;1;temperature_2m_max;0,03454594833142566
CZ;ILI;1;temperature_2m_min;0,05068886056480766
CZ;ILI;1;lag_value_1;0,35443288811556173
CZ;ILI;1;lag_humidity_1;0,018518461756690422
CZ;ILI;1;lag_temp_max_1;0,04978376235263256
CZ;ILI;1;lag_temp_max_2;0,06257808066712778
CZ;ILI;1;lag_value_3;0,13288518235246
CZ;ILI;1;lag_temp_max_3;0,06680006471644277
CZ;ILI;1;lag_temp_min_3;0,026275453610109713
CZ;ILI;1;lag_value_4;0,06457533194169018
CZ;ILI;1;lag_temp_max_4;0,07473104414997733
CZ;ILI;1;lag_temp_min_4;0,030892772973237642
CZ;ILI;1;week_cos;0,02102178109498492
CZ;ILI;2;relative_humidity_2m;0,02109435002657181
CZ;ILI;2;temperature_2m_max;0,05136800283205776
CZ;ILI;2;temperature_2m_min;0,07516129084585886
CZ;ILI;2;lag_value_1;0,29474664630905256
CZ;ILI;2;lag_humidity_1;0,01991951272858347
CZ;ILI;2;lag_temp_max_1;0,0705983630577743
CZ;ILI;2;lag_temp_max_2;0,08639716882451515
CZ;ILI;2;lag_value_3;0,08541262841401694
CZ;ILI;2;lag_temp_max_3;0,07669339930727036
CZ;ILI;2;lag_temp_min_3;0,03450312565534093
CZ;ILI;2;lag_value_4;0,046345355603517796
CZ;ILI;2;lag_temp_max_4;0,07821999265361226
CZ;ILI;2;lag_temp_min_4;0,028150211349363477
CZ;ILI;2;week_cos;0,031389952392464275
CZ;ILI;3;relative_humidity_2m;0,017840974279097796
CZ;ILI;3;temperature_2m_max;0,07574589504250166
CZ;ILI;3;temperature_2m_min;0,08971744226319087
CZ;ILI;3;lag_value_1;0,22798557487676552
CZ;ILI;3;lag_humidity_1;0,02168023104797157
CZ;ILI;3;lag_temp_max_1;0,08270811555016129
CZ;ILI;3;lag_temp_max_2;0,10383065878504269
CZ;ILI;3;lag_value_3;0,05953483174965897
